Fund Name,Plan,Category,VR ID,ISIN,Company Name,Sector,P/E Ratio,% Assets
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,HDFC Bank,Financial,14.97,10.71
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,Reliance Ind,Energy & Utilities,21.28,8.76
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,ICICI Bank,Financial,16.83,8.19
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,Bharti Airtel,Technology,41.01,4.99
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,Larsen & Toubro,Industrials,33.39,4.27
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,SBI,Financial,11.11,4.02
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,Infosys,Technology,16.26,3.76
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,Axis Bank,Financial,15.24,3.3
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,ITC,Consumer Staples,16.94,2.75
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,Kotak Bank,Financial,19.7,2.56
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,ICICI Bank,Financial,16.83,6.81
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,HDFC Bank,Financial,14.97,6.47
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,Reliance Ind,Energy & Utilities,21.28,4.24
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,Infosys,Technology,16.26,4.18
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,SBI,Financial,11.11,4.09
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,Axis Bank,Financial,15.24,3.98
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,Adani Ports,Industrials,32.84,2.88
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,Bharti Airtel,Technology,41.01,2.84
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,Mahindra & Mahindra,Consumer Discretionary,21.75,2.55
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,Larsen & Toubro,Industrials,33.39,2.49
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,ICICI Bank,Financial,16.83,7.04
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,HDFC Bank,Financial,14.97,5.64
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,Bharti Airtel,Technology,41.01,4.32
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,Bajaj Finance,Financial,29.03,3.69
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,Reliance Ind,Energy & Utilities,21.28,3.59
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,SBI,Financial,11.11,3.18
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,Infosys,Technology,16.26,3.14
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,Larsen & Toubro,Industrials,33.39,2.98
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,Mahindra & Mahindra,Consumer Discretionary,21.75,2.63
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,Eternal,Technology,646.39,2.56
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,HDFC Bank,Financial,14.97,6.19
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,Reliance Ind,Energy & Utilities,21.28,6.17
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,ICICI Bank,Financial,16.83,5.67
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,SBI,Financial,11.11,4.7
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,Nitin Spinners,Consumer Discretionary,17.13,3.9
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,Zydus Wellness,Consumer Staples,82.06,3.09
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,Bandhan Bank,Financial,27.33,2.96
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,Larsen & Toubro,Industrials,33.39,2.9
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,Glenmark Pharmaceuticals,Healthcare,45.73,2.81
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,Divi's Lab,Healthcare,69.84,2.76
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,HDFC Bank,Financial,14.97,7.11
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,Reliance Ind,Energy & Utilities,21.28,6.91
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,ICICI Bank,Financial,16.83,4.99
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,Kotak Bank,Financial,19.7,4.77
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,Tata Consultancy,Technology,15.83,3.98
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,Axis Bank,Financial,15.24,3.39
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,Sterlite Tech,Technology,535.24,2.8
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,Infosys,Technology,16.26,2.77
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,Maruti Suzuki,Consumer Discretionary,28.1,2.43
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,Jindal Steel,Materials,34.81,2.42
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,Lloyds Metals,Materials,26.24,5.83
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,Maharashtra Bank,Financial,9.2,5.28
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,UNO Minda,Consumer Discretionary,52.64,4.41
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,SAIL,Materials,22.76,4.11
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,Quality Power Electrical Equipments,Industrials,72.76,4.03
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,HDFC Bank,Financial,14.97,3.58
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,PB Fintech,Financial,103.65,3.42
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,Oberoi Realty,Real Estate,23.71,3.36
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,Aurobindo Pharma,Healthcare,23.78,3.13
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF761K01884,The Federal Bank,Financial,17.86,2.89
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,SBI,Financial,11.11,4.45
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,Hindustan Aero,Industrials,31.32,3.53
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,Quality Power Electrical Equipments,Industrials,72.76,3.19
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,Bharti Airtel,Technology,41.01,3.16
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,ICICI Bank,Financial,16.83,3.02
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,NTPC,Energy & Utilities,12.73,2.96
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,Power Fin.,Financial,5.55,2.83
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,HDFC Bank,Financial,14.97,2.81
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,Adani Ports,Industrials,32.84,2.65
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,Acutaas Chemicals,Healthcare,73.47,2.64
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,UNO Minda,Consumer Discretionary,52.64,4.34
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,Maharashtra Bank,Financial,9.2,4.3
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,Quality Power Electrical Equipments,Industrials,72.76,3.95
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,Lloyds Metals,Materials,26.24,3.87
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,Hitachi Energy,Industrials,156.16,3.71
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,PB Fintech,Financial,103.65,3.54
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,HDFC Bank,Financial,14.97,3.14
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,Indian Bank,Financial,10.07,3.1
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,Aurobindo Pharma,Healthcare,23.78,2.98
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01884,Schaeffler India,Industrials,52.47,2.87
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,HDFC Bank,Financial,14.97,5.71
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,ICICI Bank,Financial,16.83,4.7
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,Reliance Ind,Energy & Utilities,21.28,4.55
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,SBI,Financial,11.11,3.35
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,Hitachi Energy,Industrials,156.16,3.32
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,Bharat Heavy Elect,Industrials,86.24,3.26
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,Bharti Airtel,Technology,41.01,3.08
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,Larsen & Toubro,Industrials,33.39,2.72
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,Cummins India,Industrials,66.04,2.7
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,Hindalco Ind,Materials,18.04,2.57
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,HDFC Bank,Financial,14.97,6.49
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,ICICI Bank,Financial,16.83,6.43
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,Reliance Ind,Energy & Utilities,21.28,4.24
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,SBI,Financial,11.11,3.7
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,Larsen & Toubro,Industrials,33.39,3.5
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,Bharti Airtel,Technology,41.01,3.29
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,Infosys,Technology,16.26,3.09
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,Axis Bank,Financial,15.24,2.8
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,Bajaj Finance,Financial,29.03,2.56
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,GE Vernova T&D,Industrials,102.53,2.06
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,ICICI Bank,Financial,16.83,8.57
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,HDFC Bank,Financial,14.97,8.17
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,Axis Bank,Financial,15.24,6.61
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,SBI,Financial,11.11,4.53
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,Bharti Airtel,Technology,41.01,3.45
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,Kotak Bank,Financial,19.7,2.66
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,Infosys,Technology,16.26,2.58
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,Mahindra & Mahindra,Consumer Discretionary,21.75,2.43
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,Samvardhana Motherson,Consumer Discretionary,39.36,2.4
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,Tata Consultancy,Technology,15.83,2.24
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,Reliance Ind,Energy & Utilities,21.28,5.07
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,HDFC Bank,Financial,14.97,4.41
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,Bharti Airtel,Technology,41.01,3.63
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,Larsen & Toubro,Industrials,33.39,3.07
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,ICICI Bank,Financial,16.83,2.96
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,MCX,Financial,54.14,2.9
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,BSE,Financial,65.21,2.9
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,SBI,Financial,11.11,2.72
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,Muthoot Finance,Financial,11.33,2.23
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,NTPC,Energy & Utilities,12.73,2.23
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,HDFC Bank,Financial,14.97,8.24
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,ICICI Bank,Financial,16.83,6.82
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,Axis Bank,Financial,15.24,5.15
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,SBI,Financial,11.11,4.96
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,Larsen & Toubro,Industrials,33.39,4.72
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,Infosys,Technology,16.26,3.7
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,Bharti Airtel,Technology,41.01,3.52
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,Reliance Ind,Energy & Utilities,21.28,3.45
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,Grasim,Materials,42.43,3.13
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,Kotak Bank,Financial,19.7,3.13
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,HDFC Bank,Financial,14.97,7.02
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,Reliance Ind,Energy & Utilities,21.28,5.83
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,ICICI Bank,Financial,16.83,5.56
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,Bharti Airtel,Technology,41.01,3.34
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,SBI,Financial,11.11,3.34
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,Larsen & Toubro,Industrials,33.39,3.28
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,Cipla,Healthcare,28.65,2.44
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,Infosys,Technology,16.26,2.34
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,Ashok Leyland,Industrials,24.37,2.23
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,Kotak Bank,Financial,19.7,2.19
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,ICICI Bank,Financial,16.83,8.99
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,HDFC Bank,Financial,14.97,8.04
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,Axis Bank,Financial,15.24,7.42
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,Maruti Suzuki,Consumer Discretionary,28.1,4.7
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,Bharti Airtel,Technology,41.01,4.51
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,SBI,Financial,11.11,4.39
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,Kotak Bank,Financial,19.7,4.38
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,SBI Life Insurance,Financial,124.66,3.57
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,Reliance Ind,Energy & Utilities,21.28,2.86
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,HCL Technologies,Technology,18.71,2.75
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,ICICI Bank,Financial,16.83,3.71
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,HDFC Bank,Financial,14.97,3.66
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,Reliance Ind,Energy & Utilities,21.28,3.46
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,Larsen & Toubro,Industrials,33.39,2.75
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,Shriram Finance,Financial,21.39,2.49
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,Avalon Tech,Industrials,97.17,2.46
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,GE Vernova T&D,Industrials,102.53,2.38
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,SBI,Financial,11.11,2.32
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,Bharti Airtel,Technology,41.01,2.24
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,Amber Enterprises,Consumer Discretionary,153.36,2.22
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,ICICI Bank,Financial,16.83,7.32
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,HDFC Bank,Financial,14.97,6.94
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,Axis Bank,Financial,15.24,6
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,Sun Pharmaceutical,Healthcare,37.16,5.87
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,Reliance Ind,Energy & Utilities,21.28,5.68
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,Avenue Supermarts,Consumer Staples,89.84,5.55
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,Larsen & Toubro,Industrials,33.39,4.73
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,NTPC,Energy & Utilities,12.73,3.97
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,TVS Motor,Consumer Discretionary,52.85,3.94
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,Maruti Suzuki,Consumer Discretionary,28.1,3.56
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,TVS Motor,Consumer Discretionary,52.85,9.66
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,Maruti Suzuki,Consumer Discretionary,28.1,8.61
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,HDFC Bank,Financial,14.97,7.7
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,ICICI Bank,Financial,16.83,7.27
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,Avenue Supermarts,Consumer Staples,89.84,6.29
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,Reliance Ind,Energy & Utilities,21.28,5.7
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,Ethos,Consumer Discretionary,68.39,5.22
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,Bharti Airtel,Technology,41.01,4.99
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,Redtape,Consumer Discretionary,30.68,4.62
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,Eternal,Technology,646.39,4.28
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,HDFC Bank,Financial,14.97,3.83
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,Axis Bank,Financial,15.24,2.85
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,Cholamandalam Inv,Financial,24.38,2.77
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,SBI,Financial,11.11,2.67
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,Bajaj Finance,Financial,29.03,2.55
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,TVS Motor,Consumer Discretionary,52.85,2.52
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,Bharti Airtel,Technology,41.01,2.17
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,Century Textiles,Materials,--,2.17
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,Cohance Lifesciences,Healthcare,92.17,1.99
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,Kirloskar Pneumatic,Industrials,41.71,1.98
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,ICICI Bank,Financial,16.83,3.35
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,HDFC Bank,Financial,14.97,3.19
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,Axis Bank,Financial,15.24,2.76
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,MCX,Financial,54.14,2.4
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,Bajaj Finance,Financial,29.03,2.35
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,Reliance Ind,Energy & Utilities,21.28,2.13
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,Metro Brands,Consumer Discretionary,66.28,2.04
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,Apollo Hospitals,Healthcare,63.05,2.03
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,Larsen & Toubro,Industrials,33.39,2.03
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,The Federal Bank,Financial,17.86,1.99
JM ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16552,INF192K01CE3,Reliance Ind,Energy & Utilities,21.28,3.48
